,Fajr,Shorouq,Zohr,Asr,Maghrib,Isha
2018-04-29,03:53:54 AM,05:19:48 AM,11:50:44 AM,03:18:40 PM,06:21:40 PM,07:51:40 PM
2018-04-30,03:52:55 AM,05:19:03 AM,11:50:36 AM,03:18:25 PM,06:22:08 PM,07:52:08 PM
2018-05-01,03:51:58 AM,05:18:18 AM,11:50:28 AM,03:18:10 PM,06:22:38 PM,07:52:38 PM
2018-05-02,03:51:01 AM,05:17:35 AM,11:50:21 AM,03:17:55 PM,06:23:07 PM,07:53:07 PM
2018-05-03,03:50:05 AM,05:16:52 AM,11:50:14 AM,03:17:40 PM,06:23:36 PM,07:53:36 PM
2018-05-04,03:49:10 AM,05:16:10 AM,11:50:08 AM,03:17:26 PM,06:24:06 PM,07:54:06 PM
2018-05-05,03:48:16 AM,05:15:30 AM,11:50:03 AM,03:17:12 PM,06:24:36 PM,07:54:36 PM
2018-05-06,03:47:23 AM,05:14:50 AM,11:49:58 AM,03:16:58 PM,06:25:06 PM,07:55:06 PM
2018-05-07,03:46:31 AM,05:14:11 AM,11:49:53 AM,03:16:45 PM,06:25:36 PM,07:55:36 PM
2018-05-08,03:45:40 AM,05:13:33 AM,11:49:50 AM,03:16:31 PM,06:26:06 PM,07:56:06 PM
2018-05-09,03:44:50 AM,05:12:57 AM,11:49:46 AM,03:16:18 PM,06:26:36 PM,07:56:36 PM
2018-05-10,03:44:00 AM,05:12:21 AM,11:49:44 AM,03:16:06 PM,06:27:06 PM,07:57:06 PM
2018-05-11,03:43:12 AM,05:11:47 AM,11:49:42 AM,03:15:54 PM,06:27:37 PM,07:57:37 PM
2018-05-12,03:42:25 AM,05:11:13 AM,11:49:40 AM,03:15:42 PM,06:28:07 PM,07:58:07 PM
2018-05-13,03:41:39 AM,05:10:41 AM,11:49:39 AM,03:15:31 PM,06:28:37 PM,07:58:37 PM
2018-05-14,03:40:55 AM,05:10:09 AM,11:49:39 AM,03:15:20 PM,06:29:08 PM,07:59:08 PM
2018-05-15,03:40:11 AM,05:09:39 AM,11:49:39 AM,03:15:10 PM,06:29:39 PM,07:59:39 PM
2018-05-16,03:39:29 AM,05:09:10 AM,11:49:40 AM,03:15:00 PM,06:30:09 PM,08:00:09 PM
2018-05-17,03:38:48 AM,05:08:42 AM,11:49:41 AM,03:14:51 PM,06:30:40 PM,08:00:40 PM
2018-05-18,03:38:08 AM,05:08:16 AM,11:49:43 AM,03:14:42 PM,06:31:10 PM,08:01:10 PM
2018-05-19,03:37:30 AM,05:07:50 AM,11:49:45 AM,03:14:33 PM,06:31:40 PM,08:01:40 PM
2018-05-20,03:36:53 AM,05:07:26 AM,11:49:48 AM,03:14:26 PM,06:32:11 PM,08:02:11 PM
2018-05-21,03:36:17 AM,05:07:03 AM,11:49:52 AM,03:14:19 PM,06:32:41 PM,08:02:41 PM
2018-05-22,03:35:43 AM,05:06:41 AM,11:49:56 AM,03:14:12 PM,06:33:11 PM,08:03:11 PM
2018-05-23,03:35:10 AM,05:06:20 AM,11:50:00 AM,03:14:06 PM,06:33:41 PM,08:03:41 PM
2018-05-24,03:34:38 AM,05:06:00 AM,11:50:06 AM,03:14:01 PM,06:34:11 PM,08:04:11 PM
2018-05-25,03:34:08 AM,05:05:42 AM,11:50:11 AM,03:13:56 PM,06:34:40 PM,08:04:40 PM
2018-05-26,03:33:39 AM,05:05:25 AM,11:50:17 AM,03:13:52 PM,06:35:10 PM,08:05:10 PM
2018-05-27,03:33:12 AM,05:05:09 AM,11:50:24 AM,03:13:48 PM,06:35:39 PM,08:05:39 PM
2018-05-28,03:32:46 AM,05:04:54 AM,11:50:31 AM,03:13:45 PM,06:36:08 PM,08:06:08 PM
2018-05-29,03:32:22 AM,05:04:41 AM,11:50:38 AM,03:13:43 PM,06:36:36 PM,08:06:36 PM
2018-05-30,03:31:59 AM,05:04:28 AM,11:50:46 AM,03:13:42 PM,06:37:04 PM,08:07:04 PM
2018-05-31,03:31:38 AM,05:04:17 AM,11:50:55 AM,03:13:41 PM,06:37:32 PM,08:07:32 PM
2018-06-01,03:31:19 AM,05:04:08 AM,11:51:04 AM,03:13:41 PM,06:38:00 PM,08:08:00 PM
2018-06-02,03:31:01 AM,05:03:59 AM,11:51:13 AM,03:13:41 PM,06:38:27 PM,08:08:27 PM
2018-06-03,03:30:44 AM,05:03:51 AM,11:51:23 AM,03:13:43 PM,06:38:54 PM,08:08:54 PM
2018-06-04,03:30:29 AM,05:03:45 AM,11:51:32 AM,03:13:45 PM,06:39:20 PM,08:09:20 PM
2018-06-05,03:30:16 AM,05:03:40 AM,11:51:43 AM,03:13:47 PM,06:39:45 PM,08:09:45 PM
2018-06-06,03:30:04 AM,05:03:36 AM,11:51:53 AM,03:13:51 PM,06:40:11 PM,08:10:11 PM
2018-06-07,03:29:54 AM,05:03:34 AM,11:52:04 AM,03:13:55 PM,06:40:35 PM,08:10:35 PM
2018-06-08,03:29:46 AM,05:03:32 AM,11:52:16 AM,03:13:59 PM,06:40:59 PM,08:10:59 PM
2018-06-09,03:29:39 AM,05:03:32 AM,11:52:27 AM,03:14:05 PM,06:41:23 PM,08:11:23 PM
2018-06-10,03:29:34 AM,05:03:32 AM,11:52:39 AM,03:14:11 PM,06:41:46 PM,08:11:46 PM
2018-06-11,03:29:30 AM,05:03:34 AM,11:52:51 AM,03:14:17 PM,06:42:08 PM,08:12:08 PM
2018-06-12,03:29:28 AM,05:03:37 AM,11:53:03 AM,03:14:25 PM,06:42:29 PM,08:12:29 PM
2018-06-13,03:29:27 AM,05:03:42 AM,11:53:16 AM,03:14:33 PM,06:42:50 PM,08:12:50 PM
2018-06-14,03:29:29 AM,05:03:47 AM,11:53:28 AM,03:14:41 PM,06:43:10 PM,08:13:10 PM
2018-06-15,03:29:31 AM,05:03:53 AM,11:53:41 AM,03:14:51 PM,06:43:29 PM,08:13:29 PM
2018-06-16,03:29:35 AM,05:04:00 AM,11:53:54 AM,03:15:01 PM,06:43:47 PM,08:13:47 PM
2018-06-17,03:29:41 AM,05:04:09 AM,11:54:07 AM,03:15:11 PM,06:44:05 PM,08:14:05 PM
2018-06-18,03:29:48 AM,05:04:18 AM,11:54:20 AM,03:15:22 PM,06:44:22 PM,08:14:22 PM
2018-06-19,03:29:57 AM,05:04:28 AM,11:54:33 AM,03:15:34 PM,06:44:37 PM,08:14:37 PM
2018-06-20,03:30:07 AM,05:04:39 AM,11:54:46 AM,03:15:46 PM,06:44:52 PM,08:14:52 PM
2018-06-21,03:30:19 AM,05:04:52 AM,11:54:59 AM,03:15:58 PM,06:45:06 PM,08:15:06 PM
2018-06-22,03:30:32 AM,05:05:05 AM,11:55:12 AM,03:16:11 PM,06:45:19 PM,08:15:19 PM
2018-06-23,03:30:47 AM,05:05:19 AM,11:55:25 AM,03:16:25 PM,06:45:31 PM,08:15:31 PM
2018-06-24,03:31:03 AM,05:05:34 AM,11:55:38 AM,03:16:39 PM,06:45:42 PM,08:15:42 PM
2018-06-25,03:31:20 AM,05:05:49 AM,11:55:51 AM,03:16:53 PM,06:45:52 PM,08:15:52 PM
2018-06-26,03:31:39 AM,05:06:06 AM,11:56:03 AM,03:17:08 PM,06:46:01 PM,08:16:01 PM
2018-06-27,03:31:59 AM,05:06:23 AM,11:56:16 AM,03:17:23 PM,06:46:09 PM,08:16:09 PM
2018-06-28,03:32:20 AM,05:06:41 AM,11:56:28 AM,03:17:39 PM,06:46:16 PM,08:16:16 PM
2018-06-29,03:32:43 AM,05:07:00 AM,11:56:41 AM,03:17:54 PM,06:46:21 PM,08:16:21 PM
2018-06-30,03:33:07 AM,05:07:20 AM,11:56:53 AM,03:18:11 PM,06:46:26 PM,08:16:26 PM
2018-07-01,03:33:31 AM,05:07:40 AM,11:57:05 AM,03:18:27 PM,06:46:29 PM,08:16:29 PM
2018-07-02,03:33:57 AM,05:08:01 AM,11:57:16 AM,03:18:43 PM,06:46:31 PM,08:16:31 PM
2018-07-03,03:34:25 AM,05:08:22 AM,11:57:27 AM,03:19:00 PM,06:46:32 PM,08:16:32 PM
2018-07-04,03:34:53 AM,05:08:45 AM,11:57:38 AM,03:19:17 PM,06:46:32 PM,08:16:32 PM
2018-07-05,03:35:22 AM,05:09:07 AM,11:57:49 AM,03:19:34 PM,06:46:31 PM,08:16:31 PM
2018-07-06,03:35:52 AM,05:09:30 AM,11:57:59 AM,03:19:50 PM,06:46:28 PM,08:16:28 PM
2018-07-07,03:36:23 AM,05:09:54 AM,11:58:09 AM,03:20:07 PM,06:46:25 PM,08:16:25 PM
2018-07-08,03:36:55 AM,05:10:18 AM,11:58:19 AM,03:20:24 PM,06:46:20 PM,08:16:20 PM
2018-07-09,03:37:28 AM,05:10:43 AM,11:58:28 AM,03:20:41 PM,06:46:13 PM,08:16:13 PM
2018-07-10,03:38:02 AM,05:11:08 AM,11:58:37 AM,03:20:58 PM,06:46:06 PM,08:16:06 PM
2018-07-11,03:38:36 AM,05:11:33 AM,11:58:45 AM,03:21:15 PM,06:45:57 PM,08:15:57 PM
2018-07-12,03:39:11 AM,05:11:59 AM,11:58:53 AM,03:21:31 PM,06:45:47 PM,08:15:47 PM
2018-07-13,03:39:47 AM,05:12:25 AM,11:59:01 AM,03:21:48 PM,06:45:36 PM,08:15:36 PM
2018-07-14,03:40:24 AM,05:12:52 AM,11:59:08 AM,03:22:04 PM,06:45:24 PM,08:15:24 PM
2018-07-15,03:41:01 AM,05:13:18 AM,11:59:14 AM,03:22:20 PM,06:45:10 PM,08:15:10 PM
2018-07-16,03:41:39 AM,05:13:45 AM,11:59:20 AM,03:22:36 PM,06:44:55 PM,08:14:55 PM
2018-07-17,03:42:17 AM,05:14:13 AM,11:59:26 AM,03:22:51 PM,06:44:39 PM,08:14:39 PM
2018-07-18,03:42:55 AM,05:14:40 AM,11:59:31 AM,03:23:06 PM,06:44:21 PM,08:14:21 PM
2018-07-19,03:43:34 AM,05:15:08 AM,11:59:35 AM,03:23:21 PM,06:44:03 PM,08:14:03 PM
2018-07-20,03:44:14 AM,05:15:35 AM,11:59:39 AM,03:23:35 PM,06:43:43 PM,08:13:43 PM
2018-07-21,03:44:54 AM,05:16:03 AM,11:59:42 AM,03:23:49 PM,06:43:22 PM,08:13:22 PM
2018-07-22,03:45:34 AM,05:16:31 AM,11:59:45 AM,03:24:02 PM,06:42:59 PM,08:12:59 PM
2018-07-23,03:46:14 AM,05:16:59 AM,11:59:47 AM,03:24:15 PM,06:42:35 PM,08:12:35 PM
2018-07-24,03:46:55 AM,05:17:27 AM,11:59:49 AM,03:24:27 PM,06:42:11 PM,08:12:11 PM
2018-07-25,03:47:36 AM,05:17:56 AM,11:59:50 AM,03:24:38 PM,06:41:44 PM,08:11:44 PM
2018-07-26,03:48:17 AM,05:18:24 AM,11:59:50 AM,03:24:50 PM,06:41:17 PM,08:11:17 PM
2018-07-27,03:48:58 AM,05:18:52 AM,11:59:50 AM,03:25:00 PM,06:40:49 PM,08:10:49 PM
2018-07-28,03:49:39 AM,05:19:20 AM,11:59:50 AM,03:25:10 PM,06:40:19 PM,08:10:19 PM
2018-07-29,03:50:20 AM,05:19:48 AM,11:59:48 AM,03:25:19 PM,06:39:48 PM,08:09:48 PM
2018-07-30,03:51:02 AM,05:20:16 AM,11:59:46 AM,03:25:28 PM,06:39:16 PM,08:09:16 PM
2018-07-31,03:51:43 AM,05:20:44 AM,11:59:44 AM,03:25:35 PM,06:38:43 PM,08:08:43 PM
2018-08-01,03:52:24 AM,05:21:12 AM,11:59:40 AM,03:25:42 PM,06:38:09 PM,08:08:09 PM
2018-08-02,03:53:05 AM,05:21:40 AM,11:59:37 AM,03:25:49 PM,06:37:33 PM,08:07:33 PM
2018-08-03,03:53:46 AM,05:22:08 AM,11:59:32 AM,03:25:54 PM,06:36:57 PM,08:06:57 PM
2018-08-04,03:54:27 AM,05:22:35 AM,11:59:27 AM,03:25:59 PM,06:36:19 PM,08:06:19 PM
2018-08-05,03:55:08 AM,05:23:03 AM,11:59:22 AM,03:26:03 PM,06:35:40 PM,08:05:40 PM
2018-08-06,03:55:49 AM,05:23:30 AM,11:59:15 AM,03:26:06 PM,06:35:01 PM,08:05:01 PM
2018-08-07,03:56:29 AM,05:23:57 AM,11:59:09 AM,03:26:08 PM,06:34:20 PM,08:04:20 PM
2018-08-08,03:57:10 AM,05:24:24 AM,11:59:01 AM,03:26:09 PM,06:33:38 PM,08:03:38 PM
2018-08-09,03:57:50 AM,05:24:51 AM,11:58:53 AM,03:26:10 PM,06:32:55 PM,08:02:55 PM
2018-08-10,03:58:29 AM,05:25:18 AM,11:58:45 AM,03:26:10 PM,06:32:12 PM,08:02:12 PM
2018-08-11,03:59:09 AM,05:25:44 AM,11:58:36 AM,03:26:09 PM,06:31:27 PM,08:01:27 PM
2018-08-12,03:59:48 AM,05:26:11 AM,11:58:26 AM,03:26:06 PM,06:30:41 PM,08:00:41 PM
2018-08-13,04:00:27 AM,05:26:37 AM,11:58:16 AM,03:26:04 PM,06:29:55 PM,07:59:55 PM
2018-08-14,04:01:06 AM,05:27:02 AM,11:58:05 AM,03:26:00 PM,06:29:07 PM,07:59:07 PM
2018-08-15,04:01:44 AM,05:27:28 AM,11:57:53 AM,03:25:55 PM,06:28:19 PM,07:58:19 PM
